Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10
2.5938,0.0,3.6176,4.044,4.4178,4.7422,5.0206,5.2561,5.4522,5.612
4.0632,0.0,4.722,4.994,5.2308,5.4347,5.608,5.7529,5.8718,5.9669
3.0607,0.0,3.9557,4.3291,4.6569,4.9418,5.1869,5.3949,5.5687,5.7111
2.6379,0.0,3.8461,4.3465,4.7834,5.1608,5.4828,5.7537,5.9774,6.1581
2.2087,0.0,3.4991,4.0275,4.4845,4.8747,5.2032,5.4745,5.6937,5.8654
1.8842,0.0,2.9184,3.3576,3.7485,4.094,4.3968,4.6597,4.8855,5.077
1.9618,0.0,2.9082,3.3106,3.6692,3.9865,4.2651,4.5073,4.7157,4.8929
1.5732,0.0,2.4997,2.8935,3.2444,3.5549,3.8275,4.0646,4.2688,4.4425
1.346,0.0,2.2724,2.6693,3.0249,3.3415,3.6212,3.8664,4.0793,4.2621
1.3545,0.0,2.3287,2.739,3.1019,3.4204,3.6974,3.9358,4.1385,4.3085
1.7507,0.0,2.7377,3.1512,3.5154,3.8336,4.1089,4.3442,4.5429,4.7078
1.4922,0.0,2.5405,2.9771,3.3601,3.6928,3.9788,4.2215,4.4244,4.591
0.9029,0.0,1.8734,2.2818,2.6428,2.9596,3.2351,3.4723,3.6741,3.8436
1.0842,0.0,2.1519,2.5926,2.9765,3.3075,3.5894,3.8262,4.0219,4.1802
1.5336,0.0,2.5736,3.0028,3.3765,3.6984,3.9722,4.2018,4.3908,4.543
1.2756,0.0,2.3072,2.7364,3.1123,3.4387,3.719,3.9566,4.1552,4.3182
1.4246,0.0,2.4137,2.8296,3.1971,3.519,3.7982,4.0376,4.2402,4.4088
1.2968,0.0,2.2962,2.7178,3.0912,3.4192,3.7047,3.9505,4.1595,4.3346
0.9582,0.0,1.9615,2.3874,2.7665,3.1014,3.395,3.6499,3.8689,4.0547
0.7768,0.0,1.8047,2.243,2.6344,2.9816,3.2873,3.5541,3.7846,3.9816
0.7363,0.0,1.7307,2.1569,2.539,2.8795,3.1807,3.4452,3.6752,3.8732
0.621,0.0,1.5972,2.0147,2.3885,2.7209,3.0144,3.2715,3.4945,3.686
0.5432,0.0,1.4433,1.831,2.1798,2.492,2.7695,3.0145,3.2291,3.4154
0.4427,0.0,1.2607,1.6194,1.9466,2.2437,2.5122,2.7536,2.9695,3.1612
0.5237,0.0,1.2427,1.5615,1.8546,2.1232,2.3683,2.591,2.7924,2.9737
0.4712,0.0,1.2054,1.5295,1.8266,2.0978,2.3445,2.5679,2.7692,2.9496
0.2309,0.0,0.9349,1.2513,1.5452,1.8173,2.0685,2.2995,2.5112,2.7044
0.2297,0.0,0.8912,1.1909,1.4707,1.7312,1.9732,2.1971,2.4036,2.5934
0.148,0.0,0.7503,1.0259,1.2851,1.5282,1.7557,1.968,2.1656,2.3488
0.167,0.0,0.7191,0.9744,1.2162,1.4447,1.6601,1.8628,2.0528,2.2305
0.3749,0.0,0.9054,1.1511,1.384,1.6043,1.8123,2.0081,2.192,2.3641
0.277,0.0,0.6914,0.8901,1.0827,1.2691,1.4489,1.6221,1.7882,1.9471
0.2584,0.0,0.6093,0.7826,0.9539,1.1225,1.2881,1.4499,1.6075,1.7604
0.1549,0.0,0.5454,0.7254,0.8956,1.0562,1.2074,1.3493,1.4823,1.6065
0.0452,0.0,0.3908,0.5526,0.7072,0.8546,0.9948,1.1278,1.2538,1.3727
0.0068,0.0,0.3454,0.5009,0.6474,0.7853,0.9148,1.036,1.1493,1.2548
-0.0246,0.0,0.3948,0.587,0.768,0.938,1.0972,1.2461,1.3848,1.5138
-0.1111,0.0,0.5588,0.8529,1.1213,1.3653,1.5863,1.7854,1.964,2.1232
0.1002,0.0,0.7724,1.0658,1.3328,1.5746,1.7926,1.9883,2.163,2.3182
-0.1389,0.0,0.4254,0.6763,0.9075,1.1199,1.3142,1.4915,1.6526,1.7983
-0.0937,0.0,0.5091,0.7768,1.0231,1.2491,1.4557,1.6439,1.8145,1.9685
-0.0816,0.0,0.4007,0.6198,0.8249,1.0163,1.1945,1.3601,1.5135,1.6551
-0.1416,0.0,0.3254,0.539,0.7398,0.9282,1.1045,1.2691,1.4224,1.5646
-0.1191,0.0,0.3243,0.5294,0.7236,0.9073,1.0806,1.2436,1.3968,1.5401
-0.2048,0.0,0.2745,0.4934,0.6988,0.8913,1.0713,1.2391,1.3952,1.54
-0.2396,0.0,0.1844,0.3829,0.5726,0.7535,0.9257,1.0891,1.2439,1.3901
-0.2998,0.0,0.1399,0.3446,0.5395,0.7246,0.9,1.0659,1.2223,1.3694
-0.1778,0.0,0.1414,0.2968,0.4492,0.598,0.7431,0.884,1.0204,1.1521
-0.252,0.0,0.1837,0.3861,0.5786,0.7611,0.9339,1.0972,1.251,1.3956
-0.2456,0.0,0.1507,0.3375,0.5167,0.6883,0.8522,1.0084,1.157,1.2979
